num_critic_for_reviews,duration,final_budget,imdb_score, Black and White,Color,director_firstclass,director_secondclass,director_thirdclass,director_unknown
190.0,97.0,100000000.0,7.1,0,1,0,0,1,0
98.0,178.0,90000000.0,7.1,0,1,0,1,0,0
135.0,108.0,85000000.0,5.5,0,1,0,1,0,0
84.0,123.0,17621670.9332,7.8,0,1,0,1,0,0
382.0,106.0,85000000.0,5.6,0,1,0,1,0,0
393.0,112.0,60000000.0,7.5,0,1,0,1,0,0
149.0,135.0,60000000.0,5.4,0,1,0,1,0,0
94.0,109.0,84000000.0,4.3,0,1,1,0,0,0
138.0,86.0,84000000.0,4.9,0,1,1,0,0,0
432.0,95.0,35000000.0,7.1,0,1,0,1,0,0
173.0,107.0,70000000.0,6.4,0,1,1,0,0,0
127.0,130.0,8000000.0,6.9,0,1,1,0,0,0
91.0,82.0,85000000.0,4.3,0,1,0,1,0,0
238.0,88.0,85000000.0,6.1,0,1,1,0,0,0
345.0,120.0,85000000.0,7.0,0,1,1,0,0,0
377.0,162.0,65000000.0,7.7,0,1,1,0,0,0
170.0,123.0,82000000.0,5.9,0,1,0,1,0,0
191.0,101.0,81000000.0,6.7,0,1,1,0,0,0
424.0,113.0,80000000.0,6.5,0,1,0,1,0,0
154.0,110.0,80000000.0,7.1,0,1,1,0,0,0
673.0,142.0,78000000.0,7.3,0,1,0,1,0,0
383.0,102.0,80000000.0,6.5,0,1,1,0,0,0
153.0,126.0,80000000.0,7.0,0,1,1,0,0,0
166.0,83.0,80000000.0,6.8,0,1,0,1,0,0
180.0,85.0,80000000.0,7.2,0,1,0,1,0,0
120.0,97.0,41339110.4612,6.4,0,1,1,0,0,0
125.0,120.0,75000000.0,6.1,0,1,0,1,0,0
234.0,116.0,84000000.0,6.7,0,1,0,1,0,0
134.0,113.0,82000000.0,6.4,0,1,1,0,0,0
91.0,87.0,75000000.0,4.4,0,1,0,1,0,0
139.0,101.0,80000000.0,5.4,0,1,1,0,0,0
265.0,110.0,80000000.0,6.5,0,1,1,0,0,0
145.0,128.0,80000000.0,6.7,0,1,1,0,0,0
490.0,138.0,80000000.0,8.1,0,1,1,0,0,0
141.0,88.0,80000000.0,5.6,0,1,0,1,0,0
163.0,91.0,75000000.0,6.3,0,1,0,1,0,0
155.0,138.0,80000000.0,7.3,0,1,1,0,0,0
144.0,99.0,80000000.0,6.1,0,1,1,0,0,0
226.0,117.0,80000000.0,7.7,0,1,1,0,0,0
204.0,117.0,80000000.0,6.4,0,1,1,0,0,0
139.0,123.0,75000000.0,6.8,0,1,1,0,0,0
215.0,118.0,80000000.0,6.6,0,1,0,1,0,0
198.0,154.0,79000000.0,7.2,0,1,0,1,0,0
325.0,118.0,80000000.0,6.9,0,1,0,1,0,0
